55 40 96 40
96 40 101 36
101 36 122 36
122 36 126 40
126 40 173 40
171 48 174 48
174 48 176 36
176 36 434 36
434 36 437 40
437 40 439 47
438 40 486 40
486 40 493 36
493 36 509 36
509 36 514 40
514 40 554 40
554 40 557 42
557 42 559 51
558 50 560 52
560 52 550 232
550 232 548 235
548 235 62 235
62 235 62 232
62 232 57 193
57 193 69 193
69 193 69 161
69 161 56 161
56 161 58 170
59 183 57 193
56 170 56 182
56 182 59 182
56 170 59 170
59 169 59 183
59 182 69 182
59 169 69 169
59 178 69 178
56 161 50 52
50 52 52 50
51 51 52 42
52 42 55 40
52 50 100 50
100 50 96 40
98 38 124 38
126 40 120 50
120 50 171 50
439 50 490 50
490 50 486 40
490 38 510 38
514 40 510 50
510 50 558 50
437 46 439 48
439 48 436 139
436 139 434 141
434 141 176 141
176 141 174 139
174 139 171 48
171 48 173 46
173 46 437 46
220 80 431 80
431 80 431 103
431 103 220 103
220 103 220 80
250 148 281 148
285 148 315 148
318 148 349 148
354 148 384 148
250 153 281 153
285 153 315 153
318 153 349 153
354 153 384 153
250 148 250 153
281 148 281 153
285 148 285 153
315 148 315 153
318 148 318 153
349 148 349 153
354 148 354 153
384 148 384 153
175 219 205 219
209 219 239 219
242 219 274 219
278 219 308 219
312 219 342 219
346 219 376 219
380 219 411 219
415 219 445 219
445 229 415 229
411 229 380 229
376 229 346 229
342 229 312 229
308 229 278 229
274 229 242 229
239 229 209 229
205 229 175 229
175 219 175 229
205 219 205 229
209 219 209 229
239 219 239 229
242 219 242 229
274 219 274 229
278 219 278 229
308 219 308 229
312 219 312 229
342 219 342 229
346 219 346 229
376 219 376 229
380 219 380 229
411 219 411 229
415 219 415 229
445 219 445 229
220 107 242 107
242 107 242 138
242 138 220 138
220 138 220 107
227 107 227 138
234 107 234 138
220 114 242 114
220 122 242 122
220 130 242 130
180 137 180 115
180 115 186 115
186 115 186 137
186 137 180 137
185 135 181 135
181 135 181 125
181 125 185 125
185 125 185 135
181 130 185 130
202 137 195 137
195 137 195 115
195 115 202 115
202 115 202 137
201 131 201 136
201 136 196 136
196 136 196 131
196 131 201 131
196 133 201 133
201 90 218 90
218 90 218 95
218 95 201 95
201 95 201 90
207 91 216 91
216 91 216 94
216 94 207 94
207 94 207 91
283 84 306 84
318 84 334 84
343 84 356 84
380 84 428 84
428 84 428 94
420 84 420 94
414 84 414 94
407 84 407 94
400 84 400 94
393 84 393 94
386 84 386 94
380 84 380 94
356 84 356 94
343 84 343 94
334 84 334 94
326 84 326 94
318 84 318 94
306 84 306 94
299 84 299 94
290 84 290 94
283 84 283 94
